callsign,model,eft
Richard,KC-137R-RT,0
Richard,EC-137R,0
Richard,RC-137R,0
Richard,MiG-21bis,0
Richard,KC-137R,0
Richard,AJ37-Viggen,0
Richard,f-14b,0
Richard,JA37Di-Viggen,0
Richard,C-137R,0
Richard,F-15D,0
Richard,m2000-5B,0
Richard,JA37-Viggen,0
Richard,Typhoon,0
Richard,m2000-5,0
Richard,AJS37-Viggen,0
Richard,F-15C,0
Slobbyd,KC-137R-RT,0
Slobbyd,EC-137R,0
Slobbyd,RC-137R,0
Slobbyd,MiG-21bis,0
Slobbyd,KC-137R,0
Slobbyd,AJ37-Viggen,0
Slobbyd,f-14b,0
Slobbyd,JA37Di-Viggen,0
Slobbyd,C-137R,0
Slobbyd,F-15D,0
Slobbyd,m2000-5B,0
Slobbyd,JA37-Viggen,0
Slobbyd,Typhoon,0
Slobbyd,m2000-5,0
Slobbyd,AJS37-Viggen,0
Slobbyd,F-15C,0
Raider1,KC-137R-RT,0
Raider1,EC-137R,0
Raider1,RC-137R,0
Raider1,MiG-21bis,0
Raider1,KC-137R,0
Raider1,AJ37-Viggen,0
Raider1,f-14b,0
Raider1,JA37Di-Viggen,0
Raider1,C-137R,0
Raider1,F-15D,0
Raider1,m2000-5B,0
Raider1,JA37-Viggen,0
Raider1,Typhoon,0
Raider1,m2000-5,0
Raider1,AJS37-Viggen,0
Raider1,F-15C,0
G-UNTER,KC-137R-RT,0
G-UNTER,EC-137R,0
G-UNTER,RC-137R,0
G-UNTER,MiG-21bis,0
G-UNTER,KC-137R,0
G-UNTER,AJ37-Viggen,0
G-UNTER,f-14b,0
G-UNTER,JA37Di-Viggen,0
G-UNTER,C-137R,0
G-UNTER,F-15D,0
G-UNTER,m2000-5B,0
G-UNTER,JA37-Viggen,0
G-UNTER,Typhoon,0
G-UNTER,m2000-5,0
G-UNTER,AJS37-Viggen,0
G-UNTER,F-15C,0
swamp,KC-137R-RT,0
swamp,EC-137R,0
swamp,RC-137R,0
swamp,MiG-21bis,0
swamp,KC-137R,0
swamp,AJ37-Viggen,0
swamp,f-14b,0
swamp,JA37Di-Viggen,0
swamp,C-137R,0
swamp,F-15D,0
swamp,m2000-5B,0
swamp,JA37-Viggen,0
swamp,Typhoon,0
swamp,m2000-5,0
swamp,AJS37-Viggen,0
swamp,F-15C,0
fb237,KC-137R-RT,0
fb237,EC-137R,0
fb237,RC-137R,0
fb237,MiG-21bis,0
fb237,KC-137R,0
fb237,AJ37-Viggen,0
fb237,f-14b,0
fb237,JA37Di-Viggen,0
fb237,C-137R,0
fb237,F-15D,0
fb237,m2000-5B,0
fb237,JA37-Viggen,0
fb237,Typhoon,0
fb237,m2000-5,0
fb237,AJS37-Viggen,0
fb237,F-15C,0
J-Mav16,KC-137R-RT,0
J-Mav16,EC-137R,0
J-Mav16,RC-137R,0
J-Mav16,MiG-21bis,0
J-Mav16,KC-137R,0
J-Mav16,AJ37-Viggen,0
J-Mav16,f-14b,0
J-Mav16,JA37Di-Viggen,0
J-Mav16,C-137R,0
J-Mav16,F-15D,0
J-Mav16,m2000-5B,0
J-Mav16,JA37-Viggen,0
J-Mav16,Typhoon,0
J-Mav16,m2000-5,0
J-Mav16,AJS37-Viggen,0
J-Mav16,F-15C,0
5H1N0B1,KC-137R-RT,0
5H1N0B1,EC-137R,0
5H1N0B1,RC-137R,0
5H1N0B1,MiG-21bis,0
5H1N0B1,KC-137R,0
5H1N0B1,AJ37-Viggen,0
5H1N0B1,f-14b,0
5H1N0B1,JA37Di-Viggen,0
5H1N0B1,C-137R,0
5H1N0B1,F-15D,0
5H1N0B1,m2000-5B,0
5H1N0B1,JA37-Viggen,0
5H1N0B1,Typhoon,0
5H1N0B1,m2000-5,0
5H1N0B1,AJS37-Viggen,0
5H1N0B1,F-15C,0
S,KC-137R-RT,0
S,EC-137R,0
S,RC-137R,0
S,MiG-21bis,0
S,KC-137R,0
S,AJ37-Viggen,0
S,f-14b,0
S,JA37Di-Viggen,0
S,C-137R,0
S,F-15D,0
S,m2000-5B,0
S,JA37-Viggen,0
S,Typhoon,0
S,m2000-5,0
S,AJS37-Viggen,0
S,F-15C,0
Leto,KC-137R-RT,0
Leto,EC-137R,0
Leto,RC-137R,0
Leto,MiG-21bis,0
Leto,KC-137R,0
Leto,AJ37-Viggen,0
Leto,f-14b,0
Leto,JA37Di-Viggen,0
Leto,C-137R,0
Leto,F-15D,0
Leto,m2000-5B,0
Leto,JA37-Viggen,0
Leto,Typhoon,0
Leto,m2000-5,0
Leto,AJS37-Viggen,0
Leto,F-15C,0
pinto,KC-137R-RT,0
pinto,EC-137R,0
pinto,RC-137R,0
pinto,MiG-21bis,0
pinto,KC-137R,0
pinto,AJ37-Viggen,0
pinto,f-14b,0
pinto,JA37Di-Viggen,459.58704233169556
pinto,C-137R,0
pinto,F-15D,0
pinto,m2000-5B,0
pinto,JA37-Viggen,0
pinto,Typhoon,0
pinto,m2000-5,0
pinto,AJS37-Viggen,0
pinto,F-15C,0
Kokos,KC-137R-RT,0
Kokos,EC-137R,0
Kokos,RC-137R,0
Kokos,MiG-21bis,0
Kokos,KC-137R,0
Kokos,AJ37-Viggen,0
Kokos,f-14b,0
Kokos,JA37Di-Viggen,0
Kokos,C-137R,0
Kokos,F-15D,0
Kokos,m2000-5B,0
Kokos,JA37-Viggen,0
Kokos,Typhoon,0
Kokos,m2000-5,0
Kokos,AJS37-Viggen,0
Kokos,F-15C,0
